obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name
Asteroid.Trojan.2008 RR51,12,200156943,200157633,691,,asteroid-Trojan,2008 RR51,Asteroid.Trojan.2008 RR51
Trojan 2001 SM251,7,200061463,200062140,678,,asteroid-Trojan, 2001 SM251,Trojan 2001 SM251
Asteroid.Trojan.2001 OH76,111|112,200116032,200136392,670,,asteroid-Trojan,2001 OH76,Asteroid.Trojan.2001 OH76
TNO (278361) 2007 JJ43,2,200001126,200001786,661,,TNO, (278361) 2007 JJ43,TNO (278361) 2007 JJ43
Asteroid.Trojan.Kamerlingh,12,200162431,200163043,613,,asteroid-Trojan,Kamerlingh,Asteroid.Trojan.Kamerlingh
Asteroid.Trojan.2001 SM251,12,200152578,200153187,610,,asteroid-Trojan,2001 SM251,Asteroid.Trojan.2001 SM251
Asteroid.Trojan.2000 KJ1,111|112,200112364,200133871,608,,asteroid-Trojan,2000 KJ1,Asteroid.Trojan.2000 KJ1
Moon.Enceladus,111|112,200124091,200142897,607,,moon,Enceladus,Moon.Enceladus
Asteroid.Trojan.2002 TE13,111|112,200120529,200140688,603,,asteroid-Trojan,2002 TE13,Asteroid.Trojan.2002 TE13
Asteroid.Trojan.Phyleus,111|112,200127609,200146320,600,,asteroid-Trojan,Phyleus,Asteroid.Trojan.Phyleus
Asteroid.Hilda.2005 UR38,10,200079073,200079668,596,,asteroid-Hilda,2005 UR38,Asteroid.Hilda.2005 UR38
Asteroid.Hilda.1988 RO12,10,200071712,200072305,594,,asteroid-Hilda,1988 RO12,Asteroid.Hilda.1988 RO12
TNO.2003 FC128,10,200077339,200077912,574,,TNO,2003 FC128,TNO.2003 FC128
TNO (126154) 2001 YH140,5,200008716,200009280,565,,TNO, (126154) 2001 YH140,TNO (126154) 2001 YH140
TROJAN (24534),6,200050619,200051168,550,,asteroid-Trojan, (24534),TROJAN (24534)
Asteroid.Hilda.1989 VW,10,200072306,200072854,549,,asteroid-Hilda,1989 VW,Asteroid.Hilda.1989 VW
TNO.2014 WO509,14,200178313,200178857,545,,TNO,2014 WO509,TNO.2014 WO509
Asteroid.Trojan.1989 CW1,111|112,200107039,200129301,542,,asteroid-Trojan,1989 CW1,Asteroid.Trojan.1989 CW1
Asteroid.Trojan.1998 KZ12,12,200150337,200150876,540,,asteroid-Trojan,1998 KZ12,Asteroid.Trojan.1998 KZ12
Asteroid.Trojan.Anchialos,111|112,200123827,200142603,537,,asteroid-Trojan,Anchialos,Asteroid.Trojan.Anchialos
Asteroid.Trojan.2000 BQ21,111|112,200110884,200132853,534,,asteroid-Trojan,2000 BQ21,Asteroid.Trojan.2000 BQ21
Asteroid.Trojan.2002 EQ149,111|112,200118976,200139295,532,,asteroid-Trojan,2002 EQ149,Asteroid.Trojan.2002 EQ149
TNO.1999 DE9,10,200073968,200074496,529,,TNO,1999 DE9,TNO.1999 DE9
TROJAN (16152),6,200047329,200047846,518,,asteroid-Trojan, (16152),TROJAN (16152)
Asteroid.Trojan.2008 VE11,13,200171847,200172355,509,,asteroid-Trojan,2008 VE11,Asteroid.Trojan.2008 VE11
Asteroid.Trojan.2009 QB22,111|112,200122756,200142170,503,,asteroid-Trojan,2009 QB22,Asteroid.Trojan.2009 QB22
TNO.80806,14,200181221,200181722,502,,TNO,80806,TNO.80806
TNO.2014 WA510,14,200177657,200178151,495,,TNO,2014 WA510,TNO.2014 WA510
TROJAN (46302),6,200054181,200054673,493,,asteroid-Trojan, (46302),TROJAN (46302)
TNO.2010 ET65,10,200080834,200081324,491,,TNO,2010 ET65,TNO.2010 ET65
Asteroid.Trojan.2001 FV58,111|112,200114497,200134976,490,,asteroid-Trojan,2001 FV58,Asteroid.Trojan.2001 FV58
Asteroid.Trojan.2001 OG13,111|112,200115771,200136050,487,,asteroid-Trojan,2001 OG13,Asteroid.Trojan.2001 OG13
Asteroid.Trojan.2001 TQ142,12,200154845,200155326,482,,asteroid-Trojan,2001 TQ142,Asteroid.Trojan.2001 TQ142
TNO.2010 FC49,10,200081325,200081803,479,,TNO,2010 FC49,TNO.2010 FC49
TROJAN (65257),6,200058563,200059040,478,,asteroid-Trojan, (65257),TROJAN (65257)
Asteroid.Trojan.2002 GD118,111|112,200119653,200139953,476,,asteroid-Trojan,2002 GD118,Asteroid.Trojan.2002 GD118
Neptune,3,200004468,200004923,456,,planet,Neptune,Neptune
TROJAN (5123),6,200054909,200055353,445,,asteroid-Trojan, (5123),TROJAN (5123)
Asteroid.Trojan.Medon,111|112,200127110,200145761,442,,asteroid-Trojan,Medon,Asteroid.Trojan.Medon
Comet.50P,14,200180261,200180699,439,,comet,50P,Comet.50P
Asteroid.Trojan.2002 CR306,13,200170706,200171140,435,,asteroid-Trojan,2002 CR306,Asteroid.Trojan.2002 CR306
TROJAN (228102),6,200048775,200049195,421,,asteroid-Trojan, (228102),TROJAN (228102)
TNO.2010 PL66,12,200157634,200158050,417,,TNO,2010 PL66,TNO.2010 PL66
Asteroid.Trojan.2001 TL98,12,200154437,200154844,408,,asteroid-Trojan,2001 TL98,Asteroid.Trojan.2001 TL98
TROJAN (58480),6,200056650,200057035,386,,asteroid-Trojan, (58480),TROJAN (58480)
TROJAN (5436),6,200055882,200056266,385,,asteroid-Trojan, (5436),TROJAN (5436)
TROJAN (65240),6,200058180,200058562,383,,asteroid-Trojan, (65240),TROJAN (65240)
Trojan 2005 CB68,7,200062141,200062523,383,,asteroid-Trojan, 2005 CB68,Trojan 2005 CB68
TROJAN (51930),6,200055354,200055720,367,,asteroid-Trojan, (51930),TROJAN (51930)
TROJAN (113224),6,200042232,200042597,366,,asteroid-Trojan, (113224),TROJAN (113224)
TROJAN (13185),6,200043759,200044119,361,,asteroid-Trojan, (13185),TROJAN (13185)
Comet.P2016 A3,14,200182235,200182587,353,,comet,P2016 A3,Comet.P2016 A3
TROJAN (12238),6,200042781,200043131,351,,asteroid-Trojan, (12238),TROJAN (12238)
TNO.2000 WC140,8,200065200,200065547,348,,TNO,2000 WC140,TNO.2000 WC140
TROJAN (99276),6,200060803,200061149,347,,asteroid-Trojan, (99276),TROJAN (99276)
